Date,1Y Swap,2Y Swap,3Y Swap,4Y Swap,5Y Swap,7Y Swap,10Y Swap,30Y Swap
2/4/1998,5.65,5.655,5.715,5.765,5.795,5.905,6.005,6.25
2/5/1998,5.645,5.7,5.76,5.83,5.88,5.985,6.095,6.32
2/6/1998,5.655,5.695,5.755,5.825,5.865,5.975,6.075,6.31
2/9/1998,5.69,5.72,5.8,5.85,5.9,5.99,6.11,6.32
2/10/1998,5.68,5.735,5.785,5.835,5.885,5.965,6.075,6.31
2/11/1998,5.68,5.705,5.755,5.79,5.835,5.91,6.025,6.24
2/12/1998,5.675,5.695,5.755,5.805,5.855,5.915,6.005,6.26
2/13/1998,5.665,5.675,5.725,5.785,5.825,5.915,5.985,6.24
2/16/1998,5.645,5.675,5.725,5.785,5.825,5.915,5.985,6.24
2/17/1998,5.65,5.665,5.715,5.765,5.805,5.875,5.945,6.19
2/18/1998,5.645,5.685,5.745,5.785,5.825,5.905,5.975,6.22
2/19/1998,5.665,5.705,5.755,5.815,5.855,5.93,5.995,6.23
2/20/1998,5.675,5.705,5.775,5.825,5.875,5.945,6.025,6.25
2/23/1998,5.655,5.74,5.8,5.855,5.885,5.97,6.055,6.27
2/24/1998,5.715,5.855,5.95,5.97,6,6.065,6.13,6.33
2/25/1998,5.805,5.82,5.895,5.935,5.965,6.025,6.085,6.29
2/26/1998,5.775,5.875,5.925,5.985,6.015,6.075,6.125,6.32
2/27/1998,5.805,5.855,5.895,5.93,5.975,6.045,6.105,6.3
3/2/1998,5.795,5.88,5.94,5.99,6.045,6.105,6.18,6.39
3/3/1998,5.815,5.935,6.005,6.055,6.105,6.175,6.26,6.45
3/4/1998,5.845,5.895,5.95,6,6.045,6.12,6.205,6.41
3/5/1998,5.795,5.925,5.99,6.035,6.09,6.165,6.255,6.44
3/6/1998,5.825,5.88,5.955,5.995,6.035,6.105,6.19,6.4
3/9/1998,5.795,5.865,5.925,5.965,5.995,6.065,6.14,6.34
3/10/1998,5.795,5.855,5.925,5.955,5.985,6.065,6.135,6.35
3/11/1998,5.795,5.865,5.915,5.955,5.985,6.055,6.125,6.33
3/12/1998,5.795,5.815,5.875,5.905,5.925,5.995,6.065,6.27
3/13/1998,5.755,5.835,5.885,5.925,5.945,6.005,6.085,6.29
3/16/1998,5.775,5.815,5.855,5.895,5.915,5.975,6.045,6.26
3/17/1998,5.765,5.855,5.885,5.915,5.955,6.005,6.075,6.29
3/18/1998,5.775,5.835,5.895,5.925,5.96,6.015,6.07,6.31
3/19/1998,5.785,5.845,5.895,5.915,5.945,6.005,6.075,6.285
3/20/1998,5.795,5.855,5.895,5.915,5.955,5.99,6.055,6.275
3/23/1998,5.815,5.865,5.905,5.925,5.965,6.005,6.065,6.27
3/24/1998,5.805,5.865,5.905,5.94,5.965,6.015,6.075,6.27
3/25/1998,5.815,5.925,5.965,6.005,6.035,6.085,6.145,6.33
3/26/1998,5.845,5.975,6.035,6.055,6.075,6.125,6.185,6.36
3/27/1998,5.875,5.995,6.035,6.075,6.095,6.135,6.195,6.35
3/30/1998,5.885,5.985,6.035,6.075,6.105,6.155,6.215,6.37
3/31/1998,5.895,5.95,5.98,6.005,6.035,6.095,6.165,6.32
4/1/1998,5.885,5.935,5.955,5.975,5.995,6.045,6.095,6.28
4/2/1998,5.875,5.895,5.935,5.945,5.965,6.015,6.075,6.25
4/3/1998,5.795,5.815,5.85,5.875,5.905,5.955,6.005,6.21
4/6/1998,5.745,5.825,5.865,5.885,5.905,5.965,6.035,6.22
4/7/1998,5.775,5.835,5.875,5.905,5.935,5.985,6.055,6.24
4/8/1998,5.775,5.855,5.885,5.93,5.975,6.025,6.105,6.3
4/9/1998,5.775,5.865,5.905,5.945,5.985,6.045,6.095,6.28
4/10/1998,5.81,5.865,5.905,5.945,5.985,6.045,6.095,6.28
4/13/1998,5.815,5.935,5.975,6.015,6.045,6.095,6.165,6.33
4/14/1998,5.875,5.925,5.965,5.985,6.015,6.065,6.115,6.29
4/15/1998,5.855,5.915,5.945,5.975,5.985,6.035,6.095,6.28
4/16/1998,5.855,5.885,5.925,5.955,5.975,6.025,6.085,6.27
4/17/1998,5.835,5.895,5.915,5.955,5.975,6.025,6.095,6.28
4/20/1998,5.845,5.945,5.975,6.005,6.025,6.085,6.155,6.33
4/21/1998,5.865,5.965,5.995,6.025,6.055,6.105,6.165,6.34
4/22/1998,5.885,5.965,5.995,6.025,6.045,6.105,6.165,6.34
4/23/1998,5.885,5.985,6.01,6.055,6.075,6.125,6.185,6.36
4/24/1998,5.925,5.975,5.995,6.025,6.045,6.095,6.145,6.34
4/27/1998,5.895,6.055,6.105,6.135,6.145,6.2,6.26,6.43
4/28/1998,5.955,6.085,6.125,6.15,6.185,6.225,6.295,6.45
4/29/1998,5.955,6.095,6.145,6.165,6.175,6.225,6.295,6.46
4/30/1998,5.995,5.965,6.005,6.045,6.065,6.115,6.165,6.33
5/1/1998,5.885,5.965,5.995,6.035,6.065,6.095,6.155,6.32
5/4/1998,5.885,5.965,5.995,6.025,6.065,6.105,6.155,6.33
5/5/1998,5.885,6.005,6.035,6.075,6.095,6.135,6.205,6.37
5/6/1998,5.905,5.925,5.975,5.995,6.015,6.075,6.155,6.33
5/7/1998,5.855,5.945,5.995,6.025,6.055,6.105,6.175,6.35
5/8/1998,5.875,5.975,6.015,6.055,6.075,6.125,6.195,6.37
5/11/1998,5.905,6.015,6.055,6.09,6.125,6.175,6.245,6.42
5/12/1998,5.915,5.975,6.025,6.055,6.075,6.135,6.195,6.36
5/13/1998,5.885,5.975,6.005,6.025,6.045,6.095,6.145,6.32
5/14/1998,5.885,5.995,6.035,6.065,6.095,6.135,6.195,6.37
5/15/1998,5.915,5.995,6.035,6.065,6.095,6.145,6.205,6.36
5/18/1998,5.905,5.965,5.995,6.025,6.055,6.105,6.175,6.31
5/19/1998,5.895,5.955,5.995,6.025,6.045,6.105,6.175,6.33
5/20/1998,5.895,5.935,5.965,5.995,6.025,6.065,6.125,6.28
5/21/1998,5.875,5.985,6.025,6.045,6.075,6.115,6.17,6.31
5/22/1998,5.905,5.985,6.015,6.045,6.055,6.105,6.165,6.29
5/25/1998,5.895,5.985,6.015,6.045,6.055,6.105,6.165,6.29
5/26/1998,5.895,5.93,5.965,5.985,5.995,6.055,6.095,6.23
5/27/1998,5.855,5.925,5.97,5.99,6.015,6.065,6.115,6.25
5/28/1998,5.855,5.935,5.97,5.985,6.005,6.055,6.105,6.23
5/29/1998,5.845,5.915,5.925,5.965,5.995,6.035,6.09,6.2
6/1/1998,5.825,5.865,5.895,5.935,5.955,6.005,6.065,6.18
6/2/1998,5.805,5.885,5.925,5.935,5.975,6.015,6.075,6.19
6/3/1998,5.825,5.895,5.93,5.955,5.975,6.015,6.075,6.18
6/4/1998,5.835,5.925,5.965,6,6.025,6.065,6.125,6.22
6/5/1998,5.855,5.935,5.965,5.995,6.015,6.055,6.105,6.19
6/8/1998,5.875,5.935,5.965,5.995,6.015,6.045,6.095,6.195
6/9/1998,5.875,5.95,5.985,6.005,6.015,6.06,6.115,6.205
6/10/1998,5.875,5.905,5.925,5.95,5.975,6.005,6.045,6.115
6/11/1998,5.845,5.815,5.845,5.865,5.89,5.935,5.985,6.08
6/12/1998,5.805,5.815,5.835,5.865,5.875,5.925,5.975,6.1
6/15/1998,5.765,5.765,5.795,5.815,5.825,5.875,5.925,6.03
6/16/1998,5.765,5.855,5.875,5.895,5.915,5.955,5.995,6.09
6/17/1998,5.805,5.895,5.925,5.955,5.985,6.025,6.075,6.18
6/18/1998,5.845,5.88,5.915,5.93,5.95,5.995,6.055,6.15
6/19/1998,5.845,5.855,5.875,5.905,5.925,5.965,6.015,6.11
6/22/1998,5.805,5.875,5.895,5.915,5.935,5.975,6.015,6.1
6/23/1998,5.815,5.865,5.875,5.905,5.925,5.965,6.005,6.08
6/24/1998,5.805,5.865,5.885,5.895,5.915,5.965,6.015,6.1
6/25/1998,5.815,5.875,5.905,5.925,5.945,5.985,6.015,6.09
6/26/1998,5.835,5.865,5.905,5.915,5.935,5.975,6.005,6.07
6/29/1998,5.825,5.875,5.895,5.925,5.945,5.975,6.015,6.08
6/30/1998,5.825,5.84,5.885,5.905,5.91,5.945,5.995,6.06
7/1/1998,5.825,5.845,5.855,5.875,5.895,5.935,5.985,6.06
7/2/1998,5.795,5.815,5.835,5.865,5.875,5.915,5.965,6.05
7/3/1998,5.795,5.815,5.845,5.86,5.865,5.91,5.965,6.05
