Date,wti_future,brent_future,dollar_spread,wti_future_rets,brent_future_rets,spread_rets
2008-11-18,54.39,51.84,2.549999999999997,-0.010191082802547812,-0.008984897725100341,-0.0012061850774474706
2008-11-19,53.62,51.72,1.8999999999999986,-0.014157014157014215,-0.0023148148148149023,-0.011842199342199312
2008-11-24,54.5,53.93,0.5700000000000003,0.09152813939515322,0.09636104899369795,-0.004832909598544724
2008-11-25,50.77,50.35,0.4200000000000017,-0.068440366972477,-0.06638234748748374,-0.002058019484993262
2008-11-26,54.44,53.92,0.519999999999996,0.07228678353358271,0.07090367428003973,0.0013831092535429856
2008-11-27,53.87,53.13,0.7399999999999949,-0.010470242468772966,-0.014651335311572684,0.004181092842799718
2008-11-28,54.43,53.49,0.9399999999999977,0.010395396324484914,0.006775832862789374,0.0036195634616955404
2008-12-01,49.28,47.97,1.3100000000000023,-0.0946169391879478,-0.1031968592260236,0.008579920038075811
2008-12-02,46.96,45.44,1.5200000000000031,-0.04707792207792208,-0.05274129664373569,0.00566337456581361
2008-12-03,46.79,45.44,1.3500000000000014,-0.003620102214650803,0.0,-0.003620102214650803
2008-12-04,43.67,42.28,1.3900000000000006,-0.06668091472536862,-0.0695422535211267,0.0028613387957580755
2008-12-05,40.81,39.74,1.0700000000000003,-0.06549118387909318,-0.06007568590350045,-0.00541549797559273
2008-12-08,43.71,43.42,0.28999999999999915,0.07106101445724083,0.0926019124308002,-0.02154089797355936
2008-12-09,42.07,41.53,0.5399999999999991,-0.037520018302447965,-0.04352832795946569,0.006008309657017728
2008-12-10,43.52,42.4,1.1200000000000045,0.0344663655811743,0.020948711774620692,0.01351765380655361
2008-12-11,47.98,47.39,0.5899999999999963,0.10248161764705867,0.11768867924528308,-0.015207061598224408
2008-12-12,46.28,46.41,-0.12999999999999545,-0.035431429762400914,-0.020679468242245282,-0.014751961520155631
2008-12-15,44.51,44.6,-0.09000000000000341,-0.03824546240276584,-0.0390002154708036,0.0007547530680377598
2008-12-16,43.6,44.56,-0.9600000000000009,-0.020444843855313338,-0.000896860986547066,-0.019547982868766273
2008-12-23,38.98,40.36,-1.3800000000000026,-0.023302430468554243,-0.02629674306393253,0.0029943125953782873
2008-12-24,35.35,36.61,-1.259999999999998,-0.0931246793227295,-0.09291377601585729,-0.0002109033068722066
2008-12-26,37.71,38.37,-0.6599999999999966,0.06676096181046674,0.04807429664026217,0.01868666517020457
2008-12-29,40.02,40.55,-0.529999999999994,0.06125696101829759,0.056815220224133434,0.004441740794164158
2008-12-30,39.03,40.15,-1.1199999999999974,-0.024737631184407843,-0.009864364981504281,-0.014873266202903562
2008-12-31,44.6,45.59,-0.990000000000002,0.14271073533179607,0.13549190535491917,0.007218829976876895
2009-01-02,46.34,46.91,-0.5699999999999932,0.03901345291479825,0.02895371792059647,0.010059734994201777
2009-01-05,48.81,49.62,-0.8099999999999952,0.05330168321104874,0.05777019825197188,-0.004468515040923139
2009-01-06,48.58,50.53,-1.9500000000000028,-0.004712149149764474,0.018339379282547436,-0.02305152843231191
2009-01-07,42.63,45.86,-3.229999999999997,-0.12247838616714689,-0.09242034434989119,-0.0300580418172557
2009-01-08,41.7,44.67,-2.969999999999999,-0.021815622800844467,-0.025948539031835974,0.0041329162309915075
2009-01-09,40.83,44.42,-3.5900000000000034,-0.020863309352518095,-0.005596597268860533,-0.015266712083657562
2009-01-12,37.59,42.91,-5.319999999999993,-0.07935341660543706,-0.033993696533093316,-0.04535972007234374
2009-01-13,37.78,44.83,-7.049999999999997,0.005054535780792703,0.04474481472850156,-0.03969027894770886
2009-01-14,37.28,45.08,-7.799999999999997,-0.013234515616728428,0.005576622797233996,-0.018811138413962425
2009-01-15,35.4,44.69,-9.29,-0.05042918454935629,-0.008651286601597174,-0.041777897947759116
2009-01-20,40.84,43.62,-2.779999999999994,0.11859764448096427,-0.019775280898876462,0.13837292537984072
2009-01-21,43.55,45.02,-1.470000000000006,0.0663565132223309,0.03209536909674474,0.03426114412558615
2009-01-22,43.67,45.39,-1.7199999999999989,0.002755453501722263,0.00821856952465565,-0.005463116022933388
2009-01-23,46.47,48.37,-1.8999999999999986,0.06411724295855271,0.06565322758316802,-0.001535984624615308
2009-01-26,45.73,46.96,-1.230000000000004,-0.015924252205724167,-0.029150299772586246,0.01322604756686208
2009-01-27,41.58,43.73,-2.1499999999999986,-0.09075005466870761,-0.06878194207836465,-0.021968112590342967
2009-01-28,42.16,44.9,-2.740000000000002,0.013949013949013909,0.02675508804024701,-0.012806074091233102
2009-01-29,41.44,45.4,-3.960000000000001,-0.01707779886148005,0.011135857461024499,-0.028213656322504548
2009-01-30,41.68,45.88,-4.200000000000003,0.00579150579150584,0.010572687224669692,-0.004781181433163852
2009-02-02,40.08,43.82,-3.740000000000002,-0.03838771593090214,-0.044899738448125594,0.006512022517223451
2009-02-03,40.78,44.08,-3.299999999999997,0.017465069860279514,0.005933363760839754,0.011531706099439761
2009-02-04,40.32,44.15,-3.8299999999999983,-0.011280039234919098,0.0015880217785843986,-0.012868061013503497
2009-02-05,41.17,46.46,-5.289999999999999,0.021081349206349242,0.05232163080407706,-0.03124028159772782
2009-02-06,40.17,46.21,-6.039999999999999,-0.024289531212047605,-0.005380972879896685,-0.01890855833215092
2009-02-09,39.56,46.02,-6.460000000000001,-0.01518546178740352,-0.004111664141960565,-0.011073797645442956
2009-02-10,37.55,44.61,-7.060000000000002,-0.0508088978766432,-0.030638852672751057,-0.020170045203892144
2009-02-11,35.94,44.28,-8.340000000000003,-0.04287616511318241,-0.007397444519166068,-0.03547872059401634
2009-02-12,33.98,44.65,-10.670000000000002,-0.054535336672231524,0.0083559168925022,-0.06289125356473373
2009-02-17,34.93,41.03,-6.100000000000001,-0.04770992366412214,-0.05198706099815157,0.004277137334029429
2009-02-18,34.62,39.55,-4.93,-0.008874892642427778,-0.03607116743845976,0.027196274796031983
2009-02-19,39.48,41.99,-2.510000000000005,0.14038128249566723,0.06169405815423527,0.07868722434143195
