Dates,PX_LAST
1994-01-03,17.6700000000001
1994-01-04,17.7800000000001
1994-01-05,18.450000000000102
1994-01-06,18.5300000000001
1994-01-07,18.430000000000103
1994-01-10,17.7800000000001
1994-01-11,17.9600000000001
1994-01-12,17.440000000000104
1994-01-13,17.620000000000104
1994-01-14,17.8900000000001
1994-01-17,18.2100000000001
1994-01-18,17.980000000000103
1994-01-19,18.330000000000105
1994-01-20,18.2100000000001
1994-01-21,18.040000000000102
1994-01-24,18.110000000000102
1994-01-25,18.110000000000102
1994-01-26,18.410000000000103
1994-01-27,18.360000000000102
1994-01-28,18.2800000000001
1994-01-31,18.130000000000102
1994-02-01,18.860000000000102
1994-02-02,18.980000000000103
1994-02-03,18.830000000000105
1994-02-04,18.570000000000103
1994-02-07,18.190000000000104
1994-02-08,18.150000000000105
1994-02-09,17.540000000000102
1994-02-10,17.500000000000103
1994-02-11,17.660000000000103
1994-02-14,17.070000000000103
1994-02-15,17.000000000000103
1994-02-16,16.870000000000104
1994-02-17,17.1700000000001
1994-02-18,17.150000000000105
1994-02-21,17.150000000000105
1994-02-22,17.180000000000103
1994-02-23,17.120000000000104
1994-02-24,17.6500000000001
1994-02-25,17.450000000000102
1994-02-28,17.360000000000102
1994-03-01,17.550000000000104
1994-03-02,17.6400000000001
1994-03-03,17.630000000000102
1994-03-04,17.450000000000102
1994-03-07,16.980000000000103
1994-03-08,16.980000000000103
1994-03-09,17.0600000000001
1994-03-10,17.020000000000103
1994-03-11,17.3200000000001
1994-03-14,17.370000000000104
1994-03-15,17.7100000000001
1994-03-16,17.940000000000104
1994-03-17,17.700000000000102
1994-03-18,17.760000000000105
1994-03-21,18.2500000000001
1994-03-22,18.0800000000001
1994-03-23,17.9300000000001
1994-03-24,17.8100000000001
1994-03-25,17.860000000000102
1994-03-28,16.8100000000001
1994-03-29,17.050000000000104
1994-03-30,17.110000000000102
1994-03-31,17.520000000000103
1994-04-01,17.520000000000103
1994-04-04,18.520000000000103
1994-04-05,18.470000000000102
1994-04-06,18.5000000000001
1994-04-07,18.3100000000001
1994-04-08,18.300000000000104
1994-04-11,18.6000000000001
1994-04-12,18.480000000000103
1994-04-13,18.700000000000102
1994-04-14,18.9600000000001
1994-04-15,19.3100000000001
1994-04-18,19.380000000000102
1994-04-19,19.2200000000001
1994-04-20,19.550000000000104
1994-04-21,19.910000000000103
1994-04-22,20.230000000000103
1994-04-25,20.330000000000098
1994-04-26,20.0000000000001
1994-04-27,20.0000000000001
1994-04-28,19.660000000000103
1994-04-29,19.9900000000001
1994-05-02,20.2500000000001
1994-05-03,19.980000000000103
1994-05-04,19.950000000000102
1994-05-05,20.380000000000102
1994-05-06,20.7900000000001
1994-05-09,20.8200000000001
1994-05-10,20.700000000000102
1994-05-11,20.940000000000104
1994-05-12,21.370000000000104
1994-05-13,21.300000000000104
1994-05-16,21.150000000000098
1994-05-17,20.6800000000001
1994-05-18,21.080000000000098
1994-05-19,21.5400000000001
1994-05-20,22.010000000000105
1994-05-23,22.430000000000106
1994-05-24,21.430000000000106
1994-05-25,21.2100000000001
1994-05-26,21.2500000000001
1994-05-27,21.540000000000106
1994-05-30,21.540000000000106
1994-05-31,21.8200000000001
1994-06-01,21.720000000000105
1994-06-02,21.7400000000001
1994-06-03,21.630000000000102
1994-06-06,21.620000000000104
1994-06-07,21.260000000000105
1994-06-08,21.8500000000001
1994-06-09,22.180000000000106
1994-06-10,21.9900000000001
1994-06-13,22.300000000000104
1994-06-14,22.4600000000001
1994-06-15,23.370000000000104
1994-06-16,23.4200000000001
1994-06-17,24.220000000000105
1994-06-20,24.260000000000105
1994-06-21,23.550000000000104
1994-06-22,22.940000000000104
1994-06-23,22.320000000000107
1994-06-24,22.220000000000105
1994-06-27,21.910000000000103
1994-06-28,22.1700000000001
1994-06-29,21.730000000000103
1994-06-30,22.270000000000103
1994-07-01,22.430000000000106
1994-07-04,22.430000000000106
1994-07-05,22.520000000000103
1994-07-06,22.1400000000001
1994-07-07,22.020000000000103
1994-07-08,22.380000000000102
1994-07-11,23.080000000000105
1994-07-12,23.330000000000105
1994-07-13,23.050000000000104
1994-07-14,23.080000000000105
1994-07-15,22.790000000000106
1994-07-18,22.410000000000103
1994-07-19,22.360000000000106
1994-07-20,22.1000000000001
1994-07-21,21.880000000000102
1994-07-22,22.2900000000001
1994-07-25,22.090000000000103
1994-07-26,21.8900000000001
1994-07-27,22.1400000000001
1994-07-28,22.450000000000102
1994-07-29,22.980000000000103
1994-08-01,23.230000000000103
1994-08-02,22.8200000000001
1994-08-03,22.7800000000001
1994-08-04,22.8200000000001
1994-08-05,21.9900000000001
1994-08-08,22.1000000000001
1994-08-09,21.980000000000103
1994-08-10,21.6400000000001
1994-08-11,21.340000000000103
1994-08-12,20.730000000000103
1994-08-15,20.880000000000102
1994-08-16,20.410000000000103
1994-08-17,20.7900000000001
1994-08-18,20.400000000000098
1994-08-19,20.260000000000097
1994-08-22,19.550000000000104
1994-08-23,18.840000000000103
1994-08-24,19.4600000000001
1994-08-25,19.4900000000001
1994-08-26,19.110000000000106
1994-08-29,19.6000000000001
1994-08-30,19.4200000000001
1994-08-31,19.5300000000001
1994-09-01,19.440000000000104
1994-09-02,19.4900000000001
1994-09-05,19.4900000000001
1994-09-06,19.590000000000103
1994-09-07,19.7800000000001
1994-09-08,19.640000000000107
1994-09-09,19.500000000000107
1994-09-12,19.360000000000106
1994-09-13,19.090000000000103
1994-09-14,18.680000000000106
1994-09-15,18.6700000000001
1994-09-16,18.800000000000104
