,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
103,2770014Q,300583Q,304024Q,3520842Q,605555Q,9990302D,ADBE,AEP,AFL,AIG,AN,ASH,BA,BEN,BNI,BSX,CAH,CAM,CBRE,CCI,CFN,CINF,CMA,CLX,CMG,CMI,CMS
104,2784Q,3022239Q,3054Q,3546Q,611647Q,9995522D,ADI,AES,AGN,AIV,ANDW,ATI,BAC,BF/B,BRCM,BTUUQ,CAM,CAT,CCEP,CCL,CHKAQ,CL,CMCSA,CMA,CMI,CMS,CNC
105,279776Q,3026360Q,3080867Q,3605818Q,653707Q,AA,ADM,AET,AIG,ALL,ANTM,AVP,BAX,BHI,BSX,BXP,CAT,CB,CCI,CELG,CHRW,CLX,CME,CMCSA,CMS,CNC,CNP
106,2822069Q,304024Q,3147596Q,3619382Q,667517Q,AAMRQ,ADP,AFL,ALL,AMAT,AON,AVY,BBBY,BIG,BTUUQ,C,CB,CBE,CCL,CERN,CI,CMA,CMG,CME,CNC,CNP,COF
107,291784Q,3054Q,3147Q,3621240Q,677004Q,AAPL,ADSK,AGN,AMAT,AMCC,APC,AW,BBWI,BIIB,BXP,CA,CBRE,CBRE,CELG,CF,CINF,CMCSA,CMI,CMG,CNP,COF,COG
108,2972Q,3080867Q,316419Q,363096Q,680884Q,ABT,AEE,AIG,AMCC,AMD,APD,AXP,BBY,BK,C,CAG,CCEP,CCEP,CERN,CFN,CL,CME,CMS,CMI,COF,COG,COO
109,297504Q,3147596Q,3253Q,3692470Q,68335Q,ACKH,AEP,ALL,AMD,AMGN,APOL,AYE,BC,BLL,CA,CAH,CCL,CCL,CF,CHKAQ,CLX,CMG,CNC,CMS,COG,COO,COP
110,2987Q,3147Q,3277Q,370506Q,723588Q,ADBE,AES,AMAT,AMGN,AN,ASH,AZO,BCR,BMC,CAG,CAM,CEG,CEG,CFN,CHRW,CMA,CMI,CNP,CNC,COO,COP,COST
111,2999130Q,316419Q,3286728Q,375573Q,739306Q,ADI,AET,AMCC,ANDW,ANDW,ATI,BA,BDK,BMS,CAH,CAT,CELG,CELG,CHKAQ,CI,CMCSA,CMS,COF,CNP,COP,COST,CPB
112,300583Q,3253Q,329556Q,3891289Q,748957Q,ADM,AFL,AMD,ANTM,ANTM,AVP,BAC,BDX,BMY,CAM,CBRE,CEPH,CERN,CHRW,CINF,CME,CNP,COG,COF,COST,COTY,CPRT
113,3022239Q,3277Q,3346Q,399463Q,8214761Q,ADP,AGN,AMGN,AON,AON,AVY,BAX,BEN,BNI,CAT,CCEP,CERN,CF,CI,CL,CMG,CNX,COL,COG,COTY,CPB,CRM
114,3026360Q,3286728Q,334702Q,41018Q,827663Q,ADSK,AIG,ANDW,APC,APC,AW,BBBY,BF/B,BRCM,CBE,CCL,CF,CFN,CINF,CLF,CMI,COF,COO,COL,CPB,CPRI,CSCO
115,304024Q,329556Q,3393199Q,45200Q,841273Q,AEE,ALL,AON,APD,APD,AXP,BBWI,BHI,BRL,CBRE,CEG,CFN,CHKAQ,CL,CLX,CMS,COG,COP,COO,CPRI,CPRT,CSX
116,3054Q,3346Q,3459Q,45861Q,896661Q,AEP,AMAT,APC,APOL,APOL,AYE,BBY,BIG,BSX,CCEP,CELG,CHKAQ,CHRW,CLF,CMA,CNP,COL,COST,COP,CPRT,CRM,CTAS
117,3080867Q,334702Q,3517233Q,504369Q,929530Q,AES,AMD,APD,ASH,ASH,AZO,BC,BIIB,BTUUQ,CCL,CEPH,CHRW,CI,CLX,CMCSA,CNX,COP,COTY,COST,CRM,CSCO,CTLT
118,3147596Q,3393199Q,3520842Q,544791Q,93916Q,AFL,AMGN,ASH,ATI,ATI,BA,BCR,BK,BXP,CEG,CF,CI,CINF,CMA,CME,COF,COST,CPB,COTY,CSCO,CSX,CTSH
119,316419Q,3459Q,3605818Q,571300Q,945852Q,AFS,ANDW,ATI,AVP,AVP,BAC,BDK,BLL,C,CELG,CFN,CINF,CL,CMCSA,CMG,COG,CPB,CPRI,CPB,CSX,CTAS,CTVA
120,3253Q,3517233Q,3619382Q,605555Q,950967Q,AGN,AON,AVP,AVY,AVY,BAX,BDX,BLS,CA,CEPH,CHKAQ,CL,CLF,CME,CMI,COL,CPGX,CRM,CPRI,CTAS,CTSH,CTXS
121,3277Q,3520842Q,3621240Q,611647Q,968734Q,AIG,APC,AVY,AW,AW,BBBY,BEN,BMC,CAG,CF,CHRW,CLF,CLX,CMG,CMS,COP,CPRI,CSCO,CRM,CTSH,CTVA,CVS
122,3286728Q,3605818Q,363096Q,62553Q,987200Q,ALL,APD,AW,AWE,AWE,BBWI,BF/B,BMS,CAH,CHKAQ,CI,CLX,CMA,CMI,CNP,COST,CRM,CSRA,CSCO,CTXS,CTXS,CVX
123,329556Q,3619382Q,3692470Q,653707Q,9876566D,AMAT,ASH,AWE,AXP,AXP,BBY,BHI,BMY,CAT,CHRW,CINF,CMA,CMCSA,CMS,CNX,COV,CSCO,CSX,CSRA,CVS,CVS,CXO
124,334702Q,3621240Q,370506Q,667517Q,9990302D,AMD,ATI,AXP,AYE,AYE,BC,BIG,BNI,CB,CI,CL,CMCSA,CME,CNP,COF,CPB,CSRA,CTAS,CSX,CVX,CVX,D
125,3393199Q,363096Q,375573Q,677004Q,AA,AMGN,AVP,AYE,AZO,AZO,BCR,BIIB,BOL,CBE,CIEN,CLF,CME,CMG,CNX,COG,CPRI,CSX,CTSH,CTAS,CXO,CXO,DAL
126,3459Q,3692470Q,3891289Q,680884Q,AAMRQ,ANDW,AVY,AZO,BA,BA,BDK,BK,BRCM,CBRE,CINF,CLX,CMI,CMI,COF,COL,CRM,CTAS,CTXS,CTSH,D,D,DD
127,3517233Q,370506Q,399463Q,68335Q,AAPL,AON,AW,BA,BAC,BAC,BDX,BLL,BRL,CCEP,CITGQ,CMA,CMS,CMS,COG,COP,CSC,CTSH,CVS,CTXS,DAL,DAL,DE
128,3520842Q,375573Q,41018Q,69895Q,ABT,APC,AXP,BAC,BAX,BAX,BEN,BLS,BSX,CCL,CL,CMCSA,CNP,CNP,COL,COST,CSCO,CTXS,CVX,CVS,DD,DD,DFS
129,3605818Q,3891289Q,45200Q,723588Q,ACKH,APD,AYE,BAX,BBBY,BBBY,BF/B,BMC,BTUUQ,CCTYQ,CLX,CME,CNX,CNX,COP,COV,CSX,CVC,CXO,CVX,DE,DE,DG
130,3619382Q,399463Q,45861Q,739306Q,ADBE,ASH,AZA,BBBY,BBWI,BBWI,BHI,BMS,BXP,CEG,CMA,CMI,COF,COF,COST,CPB,CTAS,CVS,D,CXO,DFS,DFS,DGX
131,3621240Q,41018Q,504369Q,748957Q,ADM,ATI,AZO,BBWI,BBY,BBY,BIG,BMY,C,CELG,CMCSA,CMS,COG,COG,COV,CPRI,CTSH,CVX,DAL,D,DG,DG,DHI
132,363096Q,45200Q,544791Q,8214761Q,ADP,AVP,BA,BBY,BC,BC,BIIB,BNI,CA,CFC,CME,CNP,COL,COL,CPB,CRM,CTXS,D,DE,DAL,DGX,DGX,DHR
133,3692470Q,45861Q,571300Q,827663Q,ADSK,AVY,BAC,BC,BCR,BCR,BK,BOL,CAG,CHKAQ,CMI,CNX,COP,COP,CPPRQ,CSC,CVC,DAL,DFS,DD,DHI,DHI,DIS
134,370506Q,504369Q,605555Q,896661Q,AEE,AW,BAX,BCR,BDK,BDK,BLL,BRCM,CAH,CHRW,CMS,COF,COST,COST,CRM,CSCO,CVS,DE,DG,DE,DHR,DHR,DISCA
135,375573Q,544791Q,611647Q,929530Q,AEP,AXP,BBBY,BDK,BDX,BDX,BLS,BSX,CAT,CI,CNP,COG,CPB,COV,CSC,CSX,CVX,DFS,DGX,DFS,DIS,DIS,DISCK
136,3891289Q,571300Q,62553Q,93916Q,AES,AZA,BBWI,BDX,BEN,BEN,BMC,C,CB,CIEN,CNX,COL,CPPRQ,CPB,CSCO,CTAS,D,DG,DHI,DG,DISCA,DISCA,DISH
137,399463Q,605555Q,653707Q,950967Q,AFS,AZO,BBY,BEN,BF/B,BF/B,BMS,CA,CBE,CINF,COF,COP,CRM,CPPRQ,CSX,CTSH,DAL,DGX,DHR,DGX,DISCK,DISCK,DLR
138,41018Q,611647Q,667517Q,968734Q,AIG,BA,BC,BF/B,BGEN,BHI,BMY,CAG,CBRE,CITGQ,COG,COST,CSC,CRM,CTAS,CTXS,DE,DHI,DIS,DHI,DISH,DISH,DLTR
139,45200Q,653707Q,677004Q,987200Q,ALL,BAC,BCR,BGEN,BHI,BIG,BNI,CAH,CCEP,CL,COL,CPB,CSCO,CSC,CTSH,CVC,DFS,DHR,DISCA,DHR,DLR,DLR,DOV
140,45861Q,667517Q,680884Q,9876566D,AMAT,BAX,BDK,BHI,BIG,BIIB,BOL,CAR,CCL,CLX,COP,CPPRQ,CSX,CSCO,CTXS,CVS,DG,DIS,DISCK,DIS,DLTR,DLTR,DOW
141,504369Q,677004Q,68335Q,9990302D,AMD,BBBY,BDX,BIG,BK,BK,BRCM,CAT,CCTYQ,CMA,COST,CRM,CTAS,CSX,CVC,CVX,DGX,DISCA,DLR,DISCA,DOV,DOV,DPZ
142,544791Q,680884Q,693365Q,AA,AMGN,BBWI,BEN,BK,BLL,BLL,BSX,CB,CEG,CMCSA,COV,CSC,CTSH,CTAS,CVH,D,DHI,DISCK,DLTR,DISCK,DRE,DOW,DRE
143,571300Q,68335Q,69895Q,AAMRQ,ANDW,BBY,BF/B,BLL,BLS,BLS,C,CBE,CELG,CME,CPB,CSCO,CTXS,CTSH,CVS,DAL,DHR,DLTR,DOV,DISH,DRI,DRE,DRI
144,605555Q,693365Q,723588Q,AAPL,AON,BC,BGEN,BLS,BMC,BMC,CA,CCEP,CFC,CMI,CPPRQ,CSX,CVC,CTXS,CVX,DE,DIS,DOFSQ,DRI,DLR,DTE,DRI,DTE
145,611647Q,723588Q,739306Q,ABT,APC,BCR,BGGSQ,BMC,BMS,BMS,CAG,CCL,CHKAQ,CMS,CRM,CTAS,CVH,CVC,D,DFS,DISCA,DOV,DTE,DLTR,DUK,DTE,DUK
146,653707Q,739306Q,748957Q,ACKH,APD,BDK,BHI,BMS,BMY,BMY,CAH,CCTYQ,CI,CNP,CSC,CTSH,CVS,CVH,DE,DG,DISCK,DRI,DUK,DOV,DVA,DUK,DVA
147,667517Q,748957Q,8214761Q,ADBE,ASH,BDX,BIG,BMY,BNI,BNI,CAR,CEG,CIEN,CNX,CSCO,CTXS,CVX,CVS,DFODQ,DGX,DLTR,DTE,DVA,DRE,DVN,DVA,DVN
148,677004Q,8214761Q,896661Q,ADM,ATI,BEN,BK,BNI,BOL,BOL,CAT,CFC,CINF,COF,CSX,CVH,D,CVX,DFS,DHI,DNRCQ,DUK,DVN,DRI,DXC,DVN,DXC
149,680884Q,896661Q,90457Q,ADP,AVP,BF/B,BLL,BOL,BRCM,BRCM,CB,CI,CITGQ,COL,CTAS,CVS,DE,D,DG,DHR,DOFSQ,DVA,EA,DTE,EA,DXC,DXCM
150,68335Q,90457Q,929530Q,ADSK,AVY,BGGSQ,BLS,BRCM,BSX,BSX,CBE,CIEN,CL,COP,CTSH,CVX,DFODQ,DE,DGX,DIS,DOV,DVN,EBAY,DUK,EBAY,EA,EA
151,693365Q,929530Q,93916Q,AEP,AXP,BHI,BMC,BSX,C,C,CCEP,CIN,CLX,COST,CTXS,D,DFS,DFODQ,DHI,DISCA,DRI,EA,ECL,DVA,ECL,EBAY,EBAY
152,723588Q,93916Q,950967Q,AIG,AZA,BHMSQ,BMS,C,CA,CA,CCL,CINF,CMA,COV,CVG,DE,DGX,DFS,DHR,DLTR,DTE,EBAY,ED,DVN,ED,ECL,ECL
153,739306Q,950967Q,968734Q,ALL,AZO,BIG,BMY,CA,CAG,CAG,CCTYQ,CITGQ,CMCSA,CPB,CVH,DFODQ,DHI,DGX,DIS,DNRCQ,DUK,ECL,EFX,DXC,EFX,ED,ED
154,748957Q,968734Q,987200Q,AMAT,BA,BK,BNI,CAG,CAH,CAH,CEG,CL,CME,CPPRQ,CVS,DFS,DHR,DHI,DISCA,DOFSQ,DVA,ED,EIX,EA,EIX,EFX,EFX
155,8214761Q,987200Q,9876566D,AMD,BAC,BLL,BOL,CAH,CAR,CAR,CFC,CLX,CMI,CSC,CVX,DGX,DIS,DHR,DLTR,DOV,DVN,EFX,EL,EBAY,EL,EIX,EIX
156,8375930Q,9876566D,AA,AMGN,BAX,BLS,BRCM,CAR,CAT,CAT,CI,CMA,CMS,CSCO,D,DHI,DISCA,DIS,DNRCQ,DRI,EA,EIX,EMN,ECL,EMN,EL,EL
157,896661Q,AA,AALEA,ANDW,BBWI,BMC,BSX,CAT,CB,CB,CIEN,CMCSA,CMVT,CSX,DE,DHR,DNRCQ,DISCA,DOFSQ,DTE,EBAY,EL,EMR,ED,EMR,EMN,EMN
158,90457Q,AALEA,AAMRQ,AON,BC,BMS,BVSN,CBE,CBE,CBE,CIN,CMI,CMX,CTAS,DFODQ,DIS,DOFSQ,DLTR,DOV,DUK,ECL,EMC,ENDP,EFX,EOG,EMR,EMR
159,929530Q,AAMRQ,AAPL,APC,BCR,BMY,C,CCEP,CCEP,CCEP,CINF,CMS,CNP,CTSH,DFS,DNRCQ,DOV,DNRCQ,DRI,DVA,ED,EMN,EOG,EIX,EQIX,EOG,EOG
160,93916Q,AAPL,ABT,APD,BDK,BNI,CA,CCL,CCL,CCL,CITGQ,CMVT,CNX,CTXS,DGX,DOFSQ,DRI,DOFSQ,DTE,DVN,EFX,EMR,EQIX,EL,EQR,EQIX,EQIX
161,950967Q,ABT,ACKH,AS,BDX,BOL,CAG,CCTYQ,CCTYQ,CCTYQ,CL,CMX,COF,CVG,DHI,DOV,DTE,DOV,DUK,EA,EIX,ENDP,EQR,EMN,ES,EQR,EQR
162,968734Q,ACKH,ADM,ASH,BEN,BSX,CAH,CEG,CEG,CEG,CLX,CNP,COL,CVH,DHR,DRI,DUK,DRI,DVA,EBAY,EL,EOG,EQT,EMR,ESS,ES,ES
163,987200Q,ADM,ADP,ATI,BF/B,C,CAR,CFC,CFC,CFC,CMA,COF,COP,CVS,DIS,DTE,DVA,DTE,DVN,ECL,EMC,EQIX,ES,EOG,ETFC,ESS,ESS
164,9876566D,ADP,ADSK,AVP,BGGSQ,CA,CAT,CI,CI,CI,CMCSA,COL,COST,CVX,DOV,DUK,DVN,DUK,EA,ED,EMN,EQR,ESRX,EQIX,ETN,ETFC,ETN
165,AA,ADSK,AEP,AVY,BHI,CAG,CBE,CIEN,CIEN,CIEN,CMI,COP,CPB,D,DRI,DVA,EA,DVA,EBAY,EFX,EMR,EQT,ESS,EQR,ETR,ETN,ETR
166,AALEA,AEP,AIG,AXP,BHMSQ,CAH,CCEP,CIN,CIN,CIN,CMS,COST,CPPRQ,DDS,DTE,DVN,EBAY,DVN,ECL,EIX,EOG,ES,ETFC,EQT,EVRG,ETR,ETSY
167,AAMRQ,AIG,ALL,AZA,BIG,CAR,CCL,CINF,CINF,CINF,CMVT,CPB,CSC,DE,DUK,EA,ECL,EA,ED,EL,EQR,ESRX,ETN,ES,EW,EVRG,EVRG
168,AAPL,ALL,AMAT,AZO,BK,CAT,CCTYQ,CL,CL,CL,CMX,CPPRQ,CSCO,DFODQ,DVA,EBAY,ED,EBAY,EFX,EMC,EQT,ESS,ETR,ESRX,EXC,EW,EW
169,ABT,AMAT,AMD,BA,BKB,CBE,CEG,CLX,CLX,CLX,CNP,CSC,CSX,DFS,DVN,ECL,EFX,ECL,EIX,EMN,ES,ETFC,EVHC,ESS,EXPD,EXC,EXC
170,ACKH,AMD,AMGN,BAC,BLL,CCEP,CFC,CMA,CMA,CMA,COF,CSCO,CTAS,DGX,DYNIQ,ED,EIX,ED,EL,EMR,ESRX,ETN,EW,ETFC,EXPE,EXPD,EXPD
171,ADM,AMGN,ANDW,BAX,BLS,CCK,CGP,CMCSK,CMCSA,CMCSA,COL,CSX,CTSH,DHI,EA,EFX,EL,EFX,EMC,EOG,ESS,ETR,EXC,ETN,EXR,EXPE,EXPE
172,ADP,ANDW,AON,BBWI,BMC,CCL,CI,CMI,CMI,CMI,COP,CTAS,CTXS,DHR,EBAY,EIX,EMC,EIX,EMN,EQR,ETFC,EW,EXPD,ETR,F,EXR,EXR
173,ADSK,APD,APD,BC,BMG,CCTYQ,CIN,CMS,CMS,CMS,COST,CTB,CVG,DIS,ECL,EKDKQ,EMN,EL,EMR,EQT,ETN,EXC,EXPE,EVHC,FANG,F,F
174,AEP,AS,AS,BCR,BMS,CEG,CINF,CMVT,CMVT,CMVT,CPB,CTXS,CVH,DOV,ED,EL,EMR,EMC,EOG,ES,ETR,EXPD,EXR,EW,FAST,FANG,FANG
175,AIG,ASH,ASH,BDK,BMY,CFC,CL,CNCEQ,CNP,CNP,CPNLQ,CVG,CVS,DRI,EFX,EMC,EOG,EMN,EQR,ESRX,EW,EXPE,F,EXC,FB,FAST,FAST
176,AMD,AVP,ATI,BDX,BNI,CGP,CLX,CNP,COF,COF,CPPRQ,CVH,CVX,DTE,EIX,EMN,EP,EMR,EQT,ETFC,EXC,F,FAST,EXPD,FBHS,FB,FB
177,AMGN,AVY,AVP,BF/B,BOL,CI,CMA,COC,COL,COL,CSC,CVS,D,DUK,EKDKQ,EMR,EQR,EOG,ES,ETN,EXPD,FAST,FB,EXPE,FCX,FBHS,FBHS
178,ANDW,AXP,AVY,BGGSQ,BSX,CIN,CMCSK,COF,COP,COP,CSCO,CVX,DDS,DVN,EL,EOG,EQT,EP,ESRX,ETR,EXPE,FB,FBHS,EXR,FDX,FCX,FCX
179,APD,AZA,AXP,BHI,C,CINF,CMI,COL,COST,COST,CSX,D,DE,DYNIQ,EMC,EP,ES,EQR,ETFC,EW,F,FCX,FCX,F,FE,FDX,FDX
180,AS,BA,AZA,BHMSQ,CA,CL,CMS,COP,CPB,CPB,CTAS,DCNAQ,DFODQ,EA,EMN,EQR,ESRX,EQT,ETN,EXC,FAST,FDX,FDX,FAST,FFIV,FE,FE
181,ASH,BAC,BA,BK,CAG,CLX,CMVT,COST,CPNLQ,CPNLQ,CTB,DDS,DGX,EBAY,EMR,EQT,ETFC,ES,ETR,EXPD,FB,FE,FE,FB,FIS,FFIV,FFIV
182,AVP,BAX,BAC,BKB,CAH,CMA,CNCEQ,CPB,CPPRQ,CPPRQ,CTXS,DE,DHI,ECL,EOG,ES,ETN,ESRX,EW,EXPE,FCX,FFIV,FFIV,FBHS,FISV,FIS,FIS
183,AVY,BBWI,BAX,BLL,CAR,CMCSK,CNP,CPNLQ,CR,CR,CVG,DGX,DHR,ED,EP,ESRX,ETR,ETFC,EXC,F,FDO,FIS,FIS,FCX,FITB,FISV,FISV
184,AXP,BC,BBWI,BLS,CAT,CMI,COC,CPPRQ,CSC,CSC,CVS,DHI,DIS,EFX,EQR,ETFC,EXC,ETN,EXPD,FAST,FDX,FISV,FISV,FDX,FL,FITB,FITB
185,AZA,BCO,BC,BMG,CBE,CMS,COF,CR,CSCO,CSCO,CVX,DHR,DJ,EIX,EQT,ETN,EXPD,ETR,EXPE,FB,FE,FITB,FITB,FE,FLIR,FLIR,FLIR
186,BA,BCR,BCR,BMS,CCEP,CMVT,COP,CSC,CSX,CSX,D,DIS,DOV,EKDKQ,ESRX,ETR,EXPE,EW,F,FCX,FFIV,FLIR,FL,FFIV,FLR,FLS,FLS
187,BAC,BDK,BDK,BMY,CCK,CNCEQ,COST,CSCO,CTAS,CTAS,DALRQ,DJ,DRI,EL,ETFC,EXC,F,EXC,FAST,FDO,FIS,FLR,FLIR,FIS,FLS,FLT,FLT
188,BAX,BDX,BDX,BNI,CCL,CNP,CPB,CSX,CTB,CTB,DCNAQ,DOV,DTE,EMC,ETN,EXPD,FAST,EXPD,FCX,FDX,FISV,FLS,FLR,FISV,FLT,FMC,FMC
189,BBWI,BF/B,BF/B,BOL,CCTYQ,COC,CPNLQ,CTAS,CTXS,CTXS,DDS,DRI,DUK,EMN,ETR,EXPE,FCX,EXPE,FDO,FE,FITB,FMC,FLS,FITB,FMC,FOX,FOX
190,BC,BGGSQ,BGGSQ,BSX,CEG,COF,CPPRQ,CTB,CVG,CVG,DE,DTE,DVN,EMR,EXC,F,FDO,F,FDX,FFIV,FLIR,FOSL,FMC,FL,FRT,FOXA,FOXA
191,BCO,BHI,BHI,C,CFC,COP,CR,CTXS,CVS,CVS,DGX,DUK,DYNIQ,EOG,EXPD,FAST,FDX,FAST,FE,FIS,FLR,FSLR,FRT,FLIR,FTI,FRC,FRC
192,BCR,BHMSQ,BHMSQ,CA,CGP,COST,CSC,CVG,CVX,CVX,DHR,DVN,EA,EP,EXPE,FCX,FE,FCX,FFIV,FISV,FLS,FTI,FSLR,FLR,FTNT,FRT,FRT
193,BDK,BK,BK,CAG,CI,CPB,CSCO,CVS,D,D,DIS,DYNIQ,EBAY,EQR,F,FDO,FFIV,FDO,FHI,FITB,FMC,FTRCQ,FTI,FLS,FTV,FTI,FTI
194,BDX,BKB,BKB,CAH,CIN,CPPRQ,CSX,CVX,DALRQ,DALRQ,DJ,EA,ECL,ESRX,FAST,FDX,FHI,FDX,FHN,FLIR,FOSL,GAS,FTRCQ,FMC,GD,FTNT,FTNT
195,BF/B,BLL,BLL,CAR,CINF,CR,CTB,D,DCNAQ,DCNAQ,DOV,EBAY,ED,ETFC,FCX,FE,FHN,FE,FIS,FLR,FSLR,GD,FTV,FRT,GE,FTV,FTV
196,BGGSQ,BLS,BLS,CAT,CL,CSC,CTXS,DALRQ,DDS,DDS,DPHIQ,ECL,EFX,ETN,FDO,FHI,FIS,FFIV,FISV,FLS,FTI,GE,GD,FTI,GILD,GD,GD
197,BHI,BLY,BMG,CBE,CLX,CSCO,CVG,DCNAQ,DE,DE,DRI,ED,EIX,ETR,FDX,FHN,FISV,FHI,FITB,FMC,FTRCQ,GGP,GE,FTV,GIS,GE,GE
198,BHMSQ,BMS,BMS,CCK,CMA,CSX,CVS,DDS,DGX,DGX,DTE,EFX,EKDKQ,EXC,FE,FIS,FITB,FHN,FLIR,FOSL,GAS,GILD,GGP,GD,GL,GILD,GILD
199,BKB,BMY,BMY,CCTYQ,CMCSK,CTB,CVX,DE,DHR,DHR,DUK,EIX,EL,EXPD,FHI,FISV,FLIR,FIS,FLR,FSLR,GD,GIS,GILD,GE,GLW,GIS,GIS
200,BLL,BNI,BNI,CEG,CMI,CTXS,D,DHR,DIS,DIS,DVN,EKDKQ,EMC,EXPE,FHN,FITB,FLR,FISV,FLS,FTI,GE,GL,GIS,GGP,GM,GL,GL
201,BLS,BOL,BOL,CFC,CNCEQ,CVS,DALRQ,DIS,DJ,DJ,DYNIQ,EMC,EMN,F,FIS,FLIR,FLS,FITB,FMC,FTRCQ,GGP,GLW,GL,GILD,GOOG,GLW,GLW
202,BLY,BSX,BSX,CGP,CNP,CVX,DCNAQ,DJ,DLX,DLX,EA,EMN,EMR,FCX,FISV,FLR,FMC,FLIR,FOSL,GAS,GILD,GM,GLW,GIS,GOOGL,GM,GM
203,BMS,C,C,CI,COF,D,DDS,DLX,DOV,DOV,EBAY,EMR,EOG,FDO,FITB,FLS,FSLR,FLR,FSLR,GD,GIS,GMCR,GM,GL,GPC,GOOG,GOOG
204,BMY,CA,CA,CIN,COP,DALRQ,DE,DOV,DPHIQ,DPHIQ,ECL,EOG,EOP,FDX,FLR,FMC,FTI,FLS,FTI,GE,GL,GME,GOOG,GLW,GPN,GOOGL,GOOGL
205,BNI,CAG,CAG,CINF,COST,DCNAQ,DHR,DPHIQ,DRI,DRI,ED,EOP,EP,FE,FLS,FSLR,FTRCQ,FMC,FTRCQ,GGP,GLW,GOOG,GOOGL,GM,GPS,GPC,GPC
206,BOL,CAL,CAR,CL,CPB,DDS,DIS,DRI,DTE,DTE,EFX,EP,EQR,FHI,FTRCQ,FTI,GD,FSLR,GAS,GHC,GM,GOOGL,GPC,GOOG,GRMN,GPN,GPN
207,BSET,CAR,CAT,CLX,CPPRQ,DE,DJ,DTE,DUK,DUK,EIX,EQR,ESRX,FHN,GD,FTRCQ,GE,FTI,GD,GILD,GMCR,GPC,GPN,GOOGL,GS,GPS,GPS
208,C,CAT,CBE,CMA,CR,DHR,DLX,DUK,DVN,DVN,EKDKQ,ESRX,ETFC,FIS,GE,GD,GENZ,FTRCQ,GE,GIS,GME,GPS,GPS,GPC,GT,GRMN,GRMN
209,CA,CBE,CCK,CMCSK,CSC,DIS,DOV,DVN,DYNIQ,DYNIQ,EMC,ETFC,ETN,FISV,GENZ,GE,GHC,GAS,GHC,GL,GNW,GRMN,GRMN,GPN,GWW,GS,GS
210,CAG,CCK,CCTYQ,CMI,CSCO,DJ,DPHIQ,DYNIQ,EA,EA,EMN,ETN,ETR,FITB,GHC,GENZ,GILD,GD,GILD,GLW,GOOG,GS,GS,GPS,HAL,GWW,GWW
211,CAL,CCTYQ,CEG,CNCEQ,CSX,DLX,DRI,ECL,EBAY,EBAY,EMR,ETR,EXC,FLR,GILD,GHC,GIS,GE,GIS,GM,GOOGL,GT,GT,GRMN,HAS,HAL,HAL
212,CAT,CEG,CGP,CNP,CTB,DOV,DTE,ED,ECL,ECL,EOG,EXC,F,FMCC,GIS,GILD,GL,GHC,GL,GME,GPC,GWW,GWW,GS,HBAN,HAS,HAS
213,CBE,CGP,CI,COP,CVS,DPHIQ,DUK,EFX,ED,ED,EOP,F,FCX,FNMA,GL,GIS,GLW,GILD,GLW,GNW,GPS,HAL,HAL,GT,HBI,HBAN,HBAN
214,CCK,CI,CIN,COST,CVX,DRI,DVN,EHC,EFX,EFX,EP,FCX,FDO,FTRCQ,GLW,GL,GME,GIS,GME,GOOGL,GRMN,HAR,HAR,GWW,HCA,HBI,HBI
215,CCTYQ,CIN,CL,CPB,D,DTE,DYNIQ,EIX,EHC,EIX,EQR,FDO,FDX,GD,GME,GLW,GNW,GL,GNW,GPC,GS,HAS,HAS,HAL,HD,HCA,HCA
216,CEG,CL,CLX,CPPRQ,DALRQ,DUK,ECL,EKDKQ,EIX,EKDKQ,ESRX,FDX,FE,GE,GNW,GME,GOOGL,GLW,GOOGL,GPS,GT,HBAN,HBAN,HAS,HES,HD,HD
217,CGP,CLX,CMA,CR,DCNAQ,ECL,ED,EMC,EKDKQ,EMC,ETFC,FE,FHI,GENZ,GOOGL,GNW,GPC,GME,GPC,GRMN,GWW,HBI,HBI,HBAN,HFC,HES,HES
218,CI,CMA,CMCSK,CSC,DDS,ED,EFX,EMN,EMC,EMN,ETN,FHI,FHN,GGP,GPC,GOOGL,GPS,GNW,GPS,GS,HAL,HCA,HCA,HBI,HIG,HFC,HFC
219,CIN,CMCSK,CMI,CSCO,DE,EFX,EHC,EMR,EMN,EMR,ETR,FHN,FIS,GHC,GPS,GPC,GR,GOOGL,GRMN,GT,HAR,HD,HD,HCA,HII,HIG,HIG
220,CINL,CMI,CNP,CSX,DHR,EHC,EIX,EOG,EMR,EOG,EXC,FISV,FISV,GILD,GR,GPS,GS,GPC,GS,GWW,HAS,HES,HES,HD,HLT,HII,HII
221,CKL,CNP,COP,CTB,DIS,EIX,EKDKQ,EOP,EOG,EOP,F,FITB,FITB,GIS,GS,GR,GT,GPS,GT,HAL,HBAN,HIG,HIG,HES,HOG,HLT,HLT
222,CL,CNW,COST,CVS,DJ,EKDKQ,EMC,EP,EOP,EP,FCX,FLR,FLR,GL,GT,GS,GWW,GR,GWW,HAR,HCBK,HOG,HOG,HIG,HOLX,HOG,HOLX
223,CLX,COP,CPB,CVX,DLX,EMC,EMN,EQR,EP,EQR,FDO,FMCC,FMCC,GLW,GWW,GT,HAL,GS,HAL,HAS,HD,HON,HOLX,HLT,HON,HOLX,HON
