,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,1237Q,1255173D,1255173D,1284849D,1317355D,140402Q,1312089D,1312089D,1431816D,1431816D,1431816D,1436513D,1519128D,1649858D,1654539D,1697067D,1752754D,1831877D,9876544D,9876566D,ABBV,ADBE,ADSK,AFL,AIG,AIG,AJG
22,1255173D,1255177D,1255177D,1288652D,140402Q,1431816D,1317355D,1317355D,1436513D,1436513D,1436513D,1500785D,1520415D,1654539D,1683997D,1715651D,1806854D,1856613D,9876566D,9990302D,ABC,ADI,AEE,AGN,AIV,AIV,AKAM
23,1255177D,1281683D,126784Q,1312089D,1431816D,1436513D,1431816D,1431816D,1500785D,1500785D,1500785D,1518855D,1524867D,1683997D,1684442D,1752754D,1831877D,1858968D,9990302D,A,ABT,ADM,AEP,AIG,AIZ,AIZ,ALB
24,1270Q,1284849D,1281683D,1317355D,1436513D,1518855D,1436513D,1436513D,1518855D,1518855D,1518855D,1519128D,1528159D,1684442D,1697067D,1806854D,1856613D,9876544D,A,AA,ACN,ADP,AES,AIV,AJG,AJG,ALGN
25,1281683D,1288652D,1284849D,134618Q,1621582D,1519128D,1518855D,1500785D,1519128D,1519128D,1519128D,1524867D,1541931D,1697067D,1715651D,1810430D,1858968D,9876566D,AA,AAPL,ADBE,ADS,AET,AIZ,AKAM,AKAM,ALK
26,1284849D,1312089D,1288652D,140402Q,1627457D,1621582D,1519128D,1518855D,1524867D,1524867D,1524867D,1528159D,1649858D,1715651D,1752754D,1831877D,8394653Q,9990302D,AAPL,ABBV,ADI,ADSK,AFL,AJG,ALB,ALB,ALL
27,1288652D,1317355D,1312089D,1431816D,1649858D,1627457D,1528159D,1519128D,1528159D,1528159D,1528159D,1541931D,1654539D,1752754D,1806854D,1856613D,9876544D,A,ABC,ABC,ADM,AEE,AGN,AKAM,ALGN,ALGN,ALLE
28,1291Q,1327Q,1317355D,1436513D,1683997D,1649858D,1541931D,1528159D,1541931D,1541931D,1541931D,1649858D,1683997D,1810430D,1810430D,1858968D,9876566D,AA,ABT,ABT,ADP,AEP,AIG,ALB,ALK,ALK,ALXN
29,1297Q,134618Q,134618Q,1558530D,1684442D,1683997D,1649858D,1541931D,1649858D,1649858D,1649858D,1683351D,1684442D,1812212D,1831877D,8277831Q,9990302D,AAPL,ACN,ACN,ADS,AES,AIV,ALGN,ALL,ALL,AMAT
30,1312089D,1356Q,140402Q,1567Q,1697067D,1684442D,1683351D,1649858D,1683351D,1683351D,1683351D,1683997D,1697067D,1831877D,1856613D,8394653Q,A,ABC,ADBE,ADBE,ADSK,AET,AIZ,ALK,ALLE,ALLE,AMCR
31,1317355D,140402Q,1431816D,162007Q,1703561D,1697067D,1683997D,1683351D,1683997D,1683997D,1683997D,1684442D,1704453D,1856613D,1858968D,9876544D,AA,ABT,ADI,ADI,AEE,AFL,AJG,ALL,ALXN,ALXN,AMD
32,1327Q,1423Q,1436513D,1621582D,1704453D,1704453D,1684442D,1683997D,1684442D,1684442D,1684442D,1697067D,1715651D,1858968D,3517233Q,9876566D,AAPL,ACN,ADM,ADM,AEP,AGN,AKAM,ALLE,AMAT,AMAT,AME
33,134618Q,1431816D,1558530D,1627457D,1715651D,1715651D,1697067D,1684442D,1697067D,1697067D,1697067D,1704453D,1719868D,2942331Q,8277831Q,9990302D,ABC,ADBE,ADP,ADP,AES,AIG,ALB,ALXN,AMD,AMCR,AMGN
34,1356Q,1436513D,1567Q,1649858D,1719868D,1719868D,1704453D,1697067D,1704453D,1704453D,1704453D,1715651D,1746513D,2968900Q,8394653Q,9995522D,ABT,ADI,ADSK,ADS,AET,AIV,ALK,AMAT,AME,AMD,AMP
