timestamp,open,high,low,close
2004-01-02,14.06,14.06,14.06,14.06
2004-01-05,14.195,14.195,14.195,14.195
2004-01-06,14.04,14.04,14.04,14.04
2004-01-07,13.66,13.66,13.66,13.66
2004-01-08,13.94,13.94,13.94,13.94
2004-01-09,14.205,14.205,14.205,14.205
2004-01-12,13.9,13.9,13.9,13.9
2004-01-13,13.875,13.875,13.875,13.875
2004-01-14,13.865,13.865,13.865,13.865
2004-01-15,13.37,13.37,13.37,13.37
2004-01-16,13.75,13.75,13.75,13.75
2004-01-20,14.175,14.175,14.175,14.175
2004-01-21,14.335,14.335,14.335,14.335
2004-01-22,14.165,14.165,14.165,14.165
2004-01-23,14.7187,14.7187,14.7187,14.7187
2004-01-26,14.705,14.705,14.705,14.705
2004-01-27,14.72,14.72,14.72,14.72
2004-01-28,14.59,14.59,14.59,14.59
2004-01-29,14.545,14.545,14.545,14.545
2004-01-30,14.51,14.51,14.51,14.51
2004-02-02,14.685,14.685,14.685,14.685
2004-02-03,14.635,14.635,14.635,14.635
2004-02-04,14.555,14.555,14.555,14.555
2004-02-05,14.185,14.185,14.185,14.185
2004-02-06,14.16,14.16,14.16,14.16
2004-02-09,14.625,14.625,14.625,14.625
2004-02-10,14.875,14.875,14.875,14.875
2004-02-11,15.105,15.105,15.105,15.105
2004-02-12,14.825,14.825,14.825,14.825
2004-02-13,14.74,14.74,14.74,14.74
2004-02-17,14.925,14.925,14.925,14.925
2004-02-18,14.67,14.67,14.67,14.67
2004-02-19,14.65,14.65,14.65,14.65
2004-02-20,14.665,14.665,14.665,14.665
2004-02-23,14.56,14.56,14.56,14.56
2004-02-24,14.82,14.82,14.82,14.82
2004-02-25,14.84,14.84,14.84,14.84
2004-02-26,15.05,15.05,15.05,15.05
2004-02-27,14.86,14.86,14.86,14.86
2004-03-01,15.125,15.125,15.125,15.125
2004-03-02,15.265,15.265,15.265,15.265
2004-03-03,15.305,15.305,15.305,15.305
2004-03-04,15.255,15.255,15.255,15.255
2004-03-05,15.24,15.24,15.24,15.24
2004-03-08,15.055,15.055,15.055,15.055
2004-03-09,14.85,14.85,14.85,14.85
2004-03-10,14.47,14.47,14.47,14.47
2004-03-11,14.21,14.21,14.21,14.21
2004-03-12,14.425,14.425,14.425,14.425
2004-03-15,14.615,14.615,14.615,14.615
2004-03-16,14.355,14.355,14.355,14.355
2004-03-17,14.55,14.55,14.55,14.55
2004-03-18,14.59,14.59,14.59,14.59
2004-03-19,14.24,14.24,14.24,14.24
2004-03-22,13.985,13.985,13.985,13.985
2004-03-23,13.8,13.8,13.8,13.8
2004-03-24,13.51,13.51,13.51,13.51
2004-03-25,13.7591,13.7591,13.7591,13.7591
2004-03-26,13.8475,13.8475,13.8475,13.8475
2004-03-29,13.84,13.84,13.84,13.84
2004-03-30,14.15,14.15,14.15,14.15
2004-03-31,14.315,14.315,14.315,14.315
2004-04-01,14.08,14.08,14.08,14.08
2004-04-02,14.125,14.125,14.125,14.125
2004-04-05,14.065,14.065,14.065,14.065
2004-04-06,14.025,14.025,14.025,14.025
2004-04-07,14.16,14.16,14.16,14.16
2004-04-08,14.29,14.29,14.29,14.29
2004-04-12,14.545,14.545,14.545,14.545
2004-04-13,14.17,14.17,14.17,14.17
2004-04-14,14.12,14.12,14.12,14.12
2004-04-15,14.325,14.325,14.325,14.325
2004-04-16,14.775,14.775,14.775,14.775
2004-04-19,14.665,14.665,14.665,14.665
2004-04-20,14.19,14.19,14.19,14.19
2004-04-21,14.03,14.03,14.03,14.03
2004-04-22,14.27,14.27,14.27,14.27
2004-04-23,14.04,14.04,14.04,14.04
2004-04-26,13.95,13.95,13.95,13.95
2004-04-27,14.125,14.125,14.125,14.125
2004-04-28,13.9,13.9,13.9,13.9
2004-04-29,13.43,13.43,13.43,13.43
